player_id;name;team_name;Ability_score;attack_score;defend_score;attacking_rank;defending_rank
135246;Levi Aumua;Moana Pasifika;39.55;47.7;31.4;19.0;54.0
206856;Sam Gilbert;Highlanders;39.55;46.8;32.3;20.0;52.0
176550;Billy Proctor;Hurricanes;39.5;42.7;36.3;32.0;35.0
234720;William Havili;Moana Pasifika;39.3;53.8;24.8;10.0;97.0
209622;Joshua Moorby;Hurricanes;38.25;49.9;26.6;15.0;83.0
179256;Etene Nanai-Seturo;Chiefs;37.8;50.1;25.5;14.0;91.0
140064;Ricky Riccitelli;Blues;37.7;35.8;39.6;53.0;27.0
133800;Chase Tiatia;Chiefs;37.55;50.9;24.2;11.0;102.0
163146;Tim Anstee;Western Force;37.45;29.6;45.3;76.0;18.0
66978;James Slipper;ACT Brumbies;37.4;30.2;44.6;72.0;20.0
156912;Mark Telea;Blues;36.849999999999994;46.8;26.9;21.0;81.0
156618;Noah Lolesio;ACT Brumbies;36.8;41.2;32.4;39.0;51.0
174330;Du'Plessis Kirifi;Hurricanes;36.65;27.7;45.6;83.0;17.0
142218;Izaia Perese;NSW Waratahs;36.25;41.9;30.6;35.0;62.0
184710;Leicester Fainga'anuku;Crusaders;36.0;47.7;24.3;18.0;101.0
234690;Timoci Tavatavanawai;Moana Pasifika;35.65;45.4;25.9;25.0;88.0
192630;Will Harris;NSW Waratahs;35.45;30.9;40.0;69.0;25.0
131670;David Havili;Crusaders;35.05;36.5;33.6;52.0;46.0
206742;Tevita Ikanivere;Fijian Drua;34.900000000000006;36.7;33.1;50.0;47.0
197268;Isoa Nasilasila;Fijian Drua;34.85;32.2;37.5;65.0;32.0
168948;Caleb Clarke;Blues;34.4;43.0;25.8;30.0;89.0
166086;Harry Johnson-Holmes;NSW Waratahs;33.5;22.9;44.1;112.0;21.0
133728;Brad Wilkin;Melbourne Rebels;33.349999999999994;25.4;41.3;96.0;24.0
264132;Selestino Ravutaumada;Fijian Drua;32.95;39.3;26.6;47.0;84.0
162444;Salesi Rayasi;Hurricanes;32.900000000000006;43.7;22.1;28.0;122.0
153318;Len Ikitau;ACT Brumbies;32.9;33.9;31.9;59.0;53.0
164262;Dylan Pietsch;NSW Waratahs;32.75;38.1;27.4;48.0;78.0
187842;Ben Donaldson;NSW Waratahs;32.150000000000006;42.2;22.1;33.0;121.0
149688;Stephen Perofeta;Blues;32.1;44.7;19.5;27.0;134.0
188592;Folau Fakatava;Highlanders;31.75;43.5;20.0;29.0;129.0
141606;Shaun Stevenson;Chiefs;31.7;46.5;16.9;22.0;160.0
186408;Rameka Poihipi;Chiefs;31.3;32.2;30.4;66.0;64.0
157326;Finlay Christie;Blues;31.200000000000003;40.1;22.3;42.0;119.0
141528;Kurt Eklund;Blues;31.200000000000003;26.2;36.2;93.0;36.0
192672;Josh Flook;Queensland Reds;30.950000000000003;30.6;31.3;70.0;57.0
190848;Tom Hooper;ACT Brumbies;30.9;24.7;37.1;100.0;34.0
140178;Santiago Medrano;Western Force;30.75;24.0;37.5;103.0;33.0
206658;Naitoa Ah Kuoi;Chiefs;30.7;26.1;35.3;94.0;39.0
132768;Pete Samu;ACT Brumbies;30.599999999999998;27.4;33.8;89.0;44.0
103266;Nic White;ACT Brumbies;30.049999999999997;34.4;25.7;56.0;90.0
225720;Cortez Ratima;Chiefs;29.9;36.6;23.2;51.0;113.0
142338;Jermaine Ainsley;Highlanders;29.45;21.1;37.8;122.0;31.0
163734;Ryan Lonergan;ACT Brumbies;29.4;34.4;24.4;57.0;99.0
168702;Adrian Choat;Blues;28.95;18.4;39.5;151.0;28.0
126474;Richie Mo'unga;Crusaders;28.8;39.6;18.0;45.0;149.0
198198;Emoni Narawa;Chiefs;28.799999999999997;39.8;17.8;43.0;152.0
120396;Ardie Savea;Hurricanes;28.799999999999997;29.9;27.7;74.0;74.0
169410;Brayden Iose;Hurricanes;28.799999999999997;30.2;27.4;73.0;76.0
102960;Julian Savea;Hurricanes;28.799999999999997;34.4;23.2;55.0;112.0
130452;Damian McKenzie;Chiefs;28.5;40.4;16.6;41.0;161.0
173220;Filipo Daugunu;Queensland Reds;28.5;33.2;23.8;62.0;106.0
140022;Aidan Ross;Chiefs;28.450000000000003;18.8;38.1;144.0;30.0
